Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
"The interest rate,r, is the required rate of return; r is also called the discount rate or opportunity cost. What does an interest rate comprise of based on the provided data?",Option A: Real risk-free interest rate only,Option B: Real risk-free interest rate and an inflation premium,"Option C: Real risk-free interest rate, inflation premium, and a default risk premium","Option D: Real risk-free interest rate, inflation premium, default risk premium, liquidity premium, and a maturity premium",Option D,"The interest rate comprises the real risk-free interest rate and a set of premiums that compensate lenders for risk, including an inflation premium, default risk premium, liquidity premium, and a maturity premium, as stated in the provided data."
The cash conversion cycle for the company is closest to:,Option A: 57 days.,Option B: 85 days.,Option C: 113 days.,Option D: 67 days.,Option A,The cash conversion cycle is calculated as Days of Receivables + Days of Inventory - Days of Payables. Using the given data: 48 (Days of Receivables) + 37 (Days of Inventory) - 28 (Days of Payables) = 57 days.
An analyst is developing net present value (NPV) profiles for two investment projects. The slope of the NPV profile for Project 1 when compared to the slope of the NPV profile for Project 2 is most likely:,Option A: equal.,Option B: flatter.,Option C: steeper.,Option D: parallel.,Option C,"Project 1 has larger cash flows early in the project's life, leading to a steeper slope on the NPV profile compared to Project 2, which receives larger cash flows later in the project's life. Hence, the slope of the NPV profile for Project 1 is likely steeper."
"Using the bond-yield-plus-risk-premium approach, the cost of equity for the company is closest to:",Option A: 10.6%.,Option B: 12.0%.,Option C: 16.3%.,Option D: 14.8%.,Option A,Cost of Equity = Risk-Free Rate + Beta * (Market Equity Risk Premium). Given data: 3.0% + 1.6 * 6.0% = 10.6%.
"A company's $100 par perpetual preferred stock has a dividend rate of 7 percent and a required rate of return of 11 percent. If the market price per share for the preferred stock is $75, the preferred stock is most appropriately described as being:",Option A: overvalued by $11.36.,Option B: undervalued by $15.13.,Option C: undervalued by $36.36.,Option D: overvalued by $21.36.,Option C,"The intrinsic value of a perpetual preferred stock is calculated using the formula: Intrinsic Value = Dividend / Required Rate of Return. Given data: $100 * 7% / 11% = $63.64 < $75, making the stock undervalued by $75 - $63.64 = $11.36."
Which of the following best describes the expected growth rate of Company 1 compared to Company 2?,Option A: lower.,Option B: greater.,Option C: the same.,Option D: inconclusive.,Option B,"Expected growth rate is influenced by various factors including return on assets, dividend payout ratio, and financial leverage. Since Company 1 has a higher return on assets and lower financial leverage compared to Company 2, it suggests that the expected growth rate of Company 1 is greater than Company 2."
What is the relation between the interest rate and the future value when determining the future value factor?,Option A: The future value is equal to the present value times the interest rate.,Option B: The interest rate is subtracted from the future value to calculate the future value factor.,Option C: The interest rate is added to 1 and raised to the number of periods to calculate the future value factor.,Option D: The interest rate is divided by the number of periods to calculate the future value factor.,Option C,"The future value, FV, is the present value, PV, times the future value factor, (1 + r)^N. This means that the interest rate is added to 1 and raised to the number of periods to calculate the future value factor."
What does the effective annual rate account for in determining the growth of a unit of currency over a year?,Option A: It considers the compounding frequency of interest.,Option B: It adjusts for liquidity risk associated with the investment.,Option C: It factors in the risk premium.,Option D: It includes interest on interest in its calculation.,Option D,The effective annual rate is the amount by which a unit of currency will grow in a year with interest on interest included. It captures the compounding effect by including interest on interest in its calculation.
How can annuities be treated to simplify calculations similar to single payments?,Option A: Annuities should be discounted using a higher interest rate than single payments.,Option B: Annuities are treated as separate cash flows in calculations.,Option C: Annuities can be handled with annuity factors instead of single-payment factors.,Option D: Annuities require separate calculations utilizing different time value factors.,Option C,Annuities may be handled in a similar approach as single payments if we use annuity factors rather than single-payment factors. This simplifies calculations and allows for easier comparison between annuity and single-payment cash flows.
What type of scale categorizes data but does not rank it?,Option A: An ordinal scale.,Option B: A nominal scale.,Option C: An interval scale.,Option D: A ratio scale.,Option B,"Data that is categorized but not ranked falls under a nominal scale, where items are identified by category only without any inherent order or value assigned to them."
