Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
What is the present value formula in terms of the future value (FV) and interest rate (r)?,Option A: PV = FV / (1 + r),Option B: PV = FV x (1 + r),Option C: PV = FV / r,Option D: PV = FV x r,Option A,The present value (PV) is calculated by dividing the future value (FV) by (1 + r) based on the time value of money principle mentioned in the data. This formula represents the equivalence of current and future currency amounts based on the interest rate.
The cash conversion cycle for the company is closest to:,Option A: 57 days.,Option B: 85 days.,Option C: 113 days.,Option D: 43 days.,Option B,"The cash conversion cycle is calculated as Days of Receivables + Days of Inventory - Days of Payables. Plugging in the given values, we get 48 + 37 - 28 = 85 days."
"The only difference between the two projects is that Project 1 is expected to receive larger cash flows early in the life of the project, while Project 2 is expected to receive larger cash flows late in the life of the project. The slope of the NPV profile for Project 1 when compared to the slope of the NPV profile for Project 2 is most likely:",Option A: equal.,Option B: flatter.,Option C: steeper.,Option D: unpredictable.,Option C,"Since Project 1 receives larger cash flows early, it will have a steeper NPV profile compared to Project 2, which receives larger cash flows later."
"Using the bond-yield-plus-risk-premium approach, the cost of equity for the company is closest to:",Option A: 10.6%.,Option B: 12.0%.,Option C: 16.3%.,Option D: 11.5%.,Option A,"Cost of Equity = Risk-Free Rate + Beta * Equity Risk Premium. Plugging in the values, Cost of Equity = 3.0% + 1.6 * 6.0% = 10.6%."
"A company’s $100 par perpetual preferred stock has a dividend rate of 7 percent and a required rate of return of 11 percent. The company’s earnings are expected to grow at a constant rate of 3 percent per year. If the market price per share for the preferred stock is $75, the preferred stock is most appropriately described as being:",Option A: overvalued by $11.36.,Option B: undervalued by $15.13.,Option C: undervalued by $36.36.,Option D: overvalued by $9.74.,Option B,"The price should be calculated as Dividend / (Required Rate of Return - Growth Rate), which gives $100 * 7% / (11% - 3%) = $75. Therefore, the stock is undervalued by $15.13."
An analyst gathers the following information about two companies for the year ending 31 December 2008:,Option A: lower.,Option B: greater.,Option C: the same.,Option D: unrelated to the data.,Option A,"Higher return on assets and lower financial leverage in Company 1 may indicate better utilization of assets, potentially leading to a higher growth rate compared to Company 2."
"What is the joint probability of events A and B, given that the probability of event A is 60% and the probability of event B is 50%?",Option A: 30.0%,Option B: 53.3%,Option C: 64.0%,Option D: 70.0%,Option C,The joint probability of events A and B is calculated as P(AB) = 32%. The conditional probability of A given that B has occurred is P(A|B) = P(AB) / P(B) = 32% / 50% = 64.0%.
"Under which measurement scale is data categorized, but not ranked?",Option A: An ordinal scale.,Option B: A nominal scale.,Option C: An interval scale.,Option D: A ratio scale.,Option B,"Data is categorized, but not ranked under a nominal scale. An ordinal scale ranks data, while an interval scale ranks data and separates by equal intervals."
What does a firm experience when its long-run average cost of production increases by 15% due to an 8% increase in production?,Option A: Economies of scale.,Option B: Diseconomies of scale.,Option C: Constant returns to scale.,Option D: Economies of scope.,Option B,"A firm experiences diseconomies of scale when long-term average production costs rise faster than increases in production, leading to an upward sloping LRAC curve."
"If a company has a debt-to-equity ratio of 1.25, and all convertible bonds are converted into shares, what is the company's debt-capital ratio closest to?",Option A: 42.5%,Option B: 44.4%,Option C: 80.0%,Option D: 50.0%,Option B,"To calculate the debt-capital ratio, find the value of converted bonds and add it to the existing debt. Then, divide this total debt by the sum of the converted bonds plus shareholder's equity to get the debt-capital ratio."
